light_id,location_name,fault_type,timestamp,severity_level,fault_status,maintenance_cost
L0058,Canberra,Sensor-related,2020-01-03 19:51:36,High,In Progress,247.01
L0950,Outram Park,Sensor-related,2020-01-05 00:35:27,Low,Acknowledged,71.5
L0759,Orchard Road,Power-related,2020-01-05 13:21:17,High,Closed,112.9
L0498,City Hall,Control system,2020-01-07 05:01:16,High,In Progress,340.43
L0306,Canberra,Environmental,2020-01-08 10:28:21,Critical,Acknowledged,497.78
L0553,Canberra,Communication,2020-01-09 10:31:47,Low,Resolved,201.74
L0856,Canberra,Power-related,2020-01-10 00:41:25,High,In Progress,396.98
L0210,Chinatown,Sensor-related,2020-01-10 23:50:42,Low,Acknowledged,
L0451,Toa Payoh,Environmental,2020-01-11 10:10:35,Medium,Detected,238.98
L0175,Bishan,Power-related,2020-01-12 03:19:52,Medium,Resolved,396.02
L0788,Bishan,Cybersecurity,2020-01-14 00:20:29,Low,Detected,472.09
L0934,Bugis Junction,Control system,2020-01-15 03:26:21,Medium,Detected,105.29
L0448,Canberra,Cybersecurity,2020-01-15 05:36:13,Critical,Acknowledged,451.93
L0286,Canberra,Environmental,2020-01-15 14:28:38,High,Acknowledged,267.76
L0405,City Hall,Cybersecurity,2020-01-15 18:33:16,High,Closed,166.56
L0148,Pasir Ris,Power-related,2020-01-18 05:41:01,Medium,Resolved,493.32
L0345,Orchard Road,Environmental,2020-01-19 20:54:15,Medium,In Progress,56.02
L0124,Toa Payoh,Control system,2020-01-20 07:01:10,High,In Progress,419.65
L0229,Toa Payoh,Control system,2020-01-21 01:51:25,Critical,Detected,293.56
L0338,Bishan,Environmental,2020-01-22 19:14:00,Informational,In Progress,397.84
L0650,Jurong West,Control system,2020-01-26 11:35:29,Low,Acknowledged,456.19
L0310,Bishan,Communication,2020-01-26 20:12:44,Informational,In Progress,336.25
L0773,Pasir Ris,Environmental,2020-02-01 08:36:26,Medium,In Progress,228.26
L0052,Chinatown,Sensor-related,2020-02-04 03:44:45,Informational,Detected,85.68
L0942,Bishan,Cybersecurity,2020-02-04 05:05:01,Medium,Resolved,456.03
L0176,Bishan,Control system,2020-02-05 11:45:05,Informational,Acknowledged,335.87
L0448,Canberra,Communication,2020-02-09 00:08:07,Informational,In Progress,327.75
L0546,Canberra,Cybersecurity,2020-02-10 02:48:05,Medium,In Progress,214.97
L0040,Chinatown,Sensor-related,2020-02-10 08:08:46,High,Closed,231.93
L0030,Bugis Junction,Control system,2020-02-10 10:42:41,Low,Acknowledged,287.7
L0430,Toa Payoh,Sensor-related,2020-02-10 21:50:29,High,In Progress,296.31
L0837,Outram Park,Cybersecurity,2020-02-11 00:50:52,Low,Detected,64.94
L0593,Bishan,Cybersecurity,2020-02-13 00:21:56,Medium,Resolved,244.14
L0393,Canberra,Control system,2020-02-16 08:45:42,Medium,Resolved,270.84
L0185,Toa Payoh,Sensor-related,2020-02-19 09:47:51,Informational,Resolved,350.19
L0446,Toa Payoh,Control system,2020-02-19 16:16:21,Medium,Closed,60.73
L0693,Pasir Ris,Power-related,2020-02-20 13:56:25,Low,Resolved,244.92
L0698,Chinatown,Control system,2020-02-20 15:46:30,Informational,In Progress,133.16
L0469,Bishan,Environmental,2020-02-24 01:50:51,High,Acknowledged,359.15
L0793,Jurong West,Power-related,2020-02-26 18:23:52,Medium,In Progress,217.18
L0260,Bugis Junction,Cybersecurity,2020-02-27 05:50:57,Informational,In Progress,
L0013,Bishan,Cybersecurity,2020-02-28 05:14:52,Low,Acknowledged,167.65
