light_id,location_name,fault_type,timestamp,severity_level,fault_status,maintenance_cost,year,month,day,day_of_week,hour
L0602,Chinatown,Power-Related,2020-01-06 06:34:34,Informational,Resolved,435.43,2020,1,6,Monday,6
L0616,Bishan,Power-Related,2020-01-06 09:20:51,Informational,Acknowledged,456.65,2020,1,6,Monday,9
L0199,Bugis Junction,Power-Related,2020-01-06 19:45:33,Critical,Closed,336.82,2020,1,6,Monday,19
L0036,Chinatown,Power-Related,2020-01-07 10:49:23,High,Resolved,368.61,2020,1,7,Tuesday,10
L0259,Pasir Ris,Power-Related,2020-01-08 16:49:23,Critical,Closed,179.93,2020,1,8,Wednesday,16
L0608,Toa Payoh,Environmental,2020-01-09 14:06:04,Critical,In Progress,484.22,2020,1,9,Thursday,14
L0876,Outram Park,Power-Related,2020-01-09 17:20:51,Low,Closed,244.14,2020,1,9,Thursday,17
L0955,Chinatown,Power-Related,2020-01-10 14:52:47,High,Closed,272.345,2020,1,10,Friday,14
L0479,Jurong West,Communication,2020-01-11 07:04:34,High,In Progress,411.38,2020,1,11,Saturday,7
L0751,Bishan,Environmental,2020-01-13 16:26:42,Critical,In Progress,384.68,2020,1,13,Monday,16
L0663,Pasir Ris,Cybersecurity,2020-01-18 01:03:03,High,Closed,194.1,2020,1,18,Saturday,1
L0056,Jurong West,Communication,2020-01-20 04:43:34,Critical,Detected,137.04,2020,1,20,Monday,4
L0720,Toa Payoh,Communication,2020-01-21 04:08:47,Low,In Progress,108.03,2020,1,21,Tuesday,4
L0795,Canberra,Sensor-Related,2020-01-21 07:27:14,Informational,Resolved,207.06,2020,1,21,Tuesday,7
L0617,Chinatown,Power-Related,2020-01-23 05:21:50,Critical,Acknowledged,270.14,2020,1,23,Thursday,5
L0013,Bugis Junction,Communication,2020-01-26 18:52:07,High,Closed,240.9,2020,1,26,Sunday,18
L0520,Canberra,Communication,2020-01-27 07:25:08,Informational,Closed,409.14,2020,1,27,Monday,7
L0174,Toa Payoh,Power-Related,2020-01-27 09:26:49,Low,Resolved,271.51,2020,1,27,Monday,9
L0735,Outram Park,Communication,2020-01-28 08:56:15,Informational,In Progress,136.59,2020,1,28,Tuesday,8
L0448,Canberra,Sensor-Related,2020-02-01 00:44:49,Low,Resolved,455.53,2020,2,1,Saturday,0
L0744,Bugis Junction,Environmental,2020-02-02 06:06:57,Low,Closed,233.15,2020,2,2,Sunday,6
L0202,Bugis Junction,Environmental,2020-02-04 03:33:27,Medium,Closed,415.75,2020,2,4,Tuesday,3
L0464,Canberra,Power-Related,2020-02-05 12:48:12,Medium,Resolved,368.93,2020,2,5,Wednesday,12
L0463,Bishan,Environmental,2020-02-10 05:50:51,Critical,In Progress,111.52,2020,2,10,Monday,5
L0729,Chinatown,Communication,2020-02-11 10:37:24,High,Resolved,246.31,2020,2,11,Tuesday,10
L0403,Chinatown,Environmental,2020-02-15 11:07:18,Informational,Acknowledged,434.38,2020,2,15,Saturday,11
L0989,Toa Payoh,Communication,2020-02-16 01:01:38,Low,Detected,457.01,2020,2,16,Sunday,1
L0394,City Hall,Control System,2020-02-16 08:27:27,High,Resolved,265.49,2020,2,16,Sunday,8
L0627,Bishan,Communication,2020-02-17 16:11:38,Critical,In Progress,473.86,2020,2,17,Monday,16
L0605,City Hall,Communication,2020-02-18 10:04:17,Low,Resolved,272.345,2020,2,18,Tuesday,10
L0205,Outram Park,Sensor-Related,2020-02-18 14:46:30,Low,Detected,391.81,2020,2,18,Tuesday,14
L0220,Pasir Ris,Power-Related,2020-02-20 16:10:27,Critical,Detected,193.28,2020,2,20,Thursday,16
L0284,Canberra,Sensor-Related,2020-02-24 12:48:17,Medium,In Progress,453.57,2020,2,24,Monday,12
L0449,Canberra,Control System,2020-02-27 04:56:10,Medium,Closed,90.73,2020,2,27,Thursday,4
L0048,Jurong West,Environmental,2020-02-28 23:20:51,Informational,Closed,188.94,2020,2,28,Friday,23
L0464,Canberra,Cybersecurity,2020-03-01 02:16:37,Critical,Resolved,61.47,2020,3,1,Sunday,2
L0513,Toa Payoh,Power-Related,2020-03-02 23:48:21,Low,Acknowledged,236.08,2020,3,2,Monday,23
L0549,Jurong West,Control System,2020-03-03 14:47:53,Medium,Closed,293.52,2020,3,3,Tuesday,14
L0183,Bugis Junction,Sensor-Related,2020-03-06 06:20:16,Low,Detected,187.14,2020,3,6,Friday,6
L0489,Orchard Road,Power-Related,2020-03-06 23:43:23,Medium,Detected,140.01,2020,3,6,Friday,23
L0097,City Hall,Control System,2020-03-09 21:26:48,Critical,Closed,423.7,2020,3,9,Monday,21
L0037,Outram Park,Communication,2020-03-15 12:20:23,Low,Acknowledged,263.2,2020,3,15,Sunday,12
L0253,Bishan,Communication,2020-03-16 13:54:07,High,Detected,437.24,2020,3,16,Monday,13
L0887,Toa Payoh,Environmental,2020-03-17 09:11:40,Low,Acknowledged,484.97,2020,3,17,Tuesday,9
L0115,Pasir Ris,Power-Related,2020-03-21 03:06:08,High,Detected,338.31,2020,3,21,Saturday,3
L0477,Pasir Ris,Sensor-Related,2020-03-22 10:21:19,Informational,Detected,395.54,2020,3,22,Sunday,10
L0167,Canberra,Environmental,2020-03-22 19:28:45,High,In Progress,428.04,2020,3,22,Sunday,19
L0542,Canberra,Environmental,2020-03-23 06:19:08,High,Closed,79.64,2020,3,23,Monday,6
L0888,City Hall,Communication,2020-03-27 11:09:46,Informational,Acknowledged,398.25,2020,3,27,Friday,11
L0984,Bugis Junction,Communication,2020-03-29 18:05:24,High,Resolved,485.89,2020,3,29,Sunday,18
L0780,Pasir Ris,Control System,2020-03-29 21:40:49,High,In Progress,57.74,2020,3,29,Sunday,21
L0909,Toa Payoh,Power-Related,2020-03-30 12:58:49,Low,Acknowledged,448.11,2020,3,30,Monday,12
L0952,Orchard Road,Communication,2020-04-03 05:10:08,Medium,Acknowledged,374.68,2020,4,3,Friday,5
L0866,Outram Park,Power-Related,2020-04-04 15:57:40,Informational,Detected,428.51,2020,4,4,Saturday,15
L0792,Orchard Road,Sensor-Related,2020-04-09 07:58:50,Low,Detected,418.92,2020,4,9,Thursday,7
L0349,Chinatown,Sensor-Related,2020-04-10 20:46:17,Informational,Acknowledged,378.49,2020,4,10,Friday,20
