light_id,location_name,fault_type,timestamp,severity_level,fault_status,maintenance_cost,year,month,day,day_of_week,hour
L0226,Pasir Ris,Control System,2020-01-01 01:22:25,High,Acknowledged,343.6,2020,1,1,Wednesday,1
L0061,City Hall,Control System,2020-01-01 23:45:18,Low,In Progress,271.79999999999995,2020,1,1,Wednesday,23
L0455,Pasir Ris,Power-Related,2020-01-02 01:33:02,Informational,Resolved,169.2,2020,1,2,Thursday,1
L0924,City Hall,Cybersecurity,2020-01-02 03:34:48,Informational,Resolved,372.45,2020,1,2,Thursday,3
L0134,Canberra,Communication,2020-01-02 08:09:16,Low,In Progress,335.57,2020,1,2,Thursday,8
L0404,Jurong West,Environmental,2020-01-02 22:26:16,Informational,Detected,398.42,2020,1,2,Thursday,22
L0373,Bugis Junction,Cybersecurity,2020-01-03 19:12:37,High,Acknowledged,416.59,2020,1,3,Friday,19
L0363,Jurong West,Communication,2020-01-03 23:28:47,Informational,Resolved,166.68,2020,1,3,Friday,23
L0377,Pasir Ris,Control System,2020-01-04 12:10:28,Critical,Acknowledged,183.92,2020,1,4,Saturday,12
L0425,Bishan,Environmental,2020-01-05 21:22:55,Critical,Acknowledged,293.96,2020,1,5,Sunday,21
L0173,Outram Park,Sensor-Related,2020-01-06 20:15:35,Informational,Resolved,219.38,2020,1,6,Monday,20
L0317,Pasir Ris,Cybersecurity,2020-01-08 01:46:10,Medium,Resolved,497.08,2020,1,8,Wednesday,1
L0930,Bishan,Environmental,2020-01-08 10:07:10,Critical,Acknowledged,374.73,2020,1,8,Wednesday,10
L0514,Bishan,Environmental,2020-01-09 13:43:38,Informational,Resolved,398.01,2020,1,9,Thursday,13
L0565,Bugis Junction,Cybersecurity,2020-01-11 05:37:07,Critical,Detected,271.79999999999995,2020,1,11,Saturday,5
L0837,Bugis Junction,Control System,2020-01-11 07:03:02,Critical,Acknowledged,271.79999999999995,2020,1,11,Saturday,7
L0043,Bugis Junction,Sensor-Related,2020-01-12 05:06:39,Informational,Acknowledged,242.65,2020,1,12,Sunday,5
L0505,Canberra,Power-Related,2020-01-13 17:48:20,Medium,Acknowledged,435.24,2020,1,13,Monday,17
L0720,Chinatown,Power-Related,2020-01-14 01:35:02,Critical,Closed,360.31,2020,1,14,Tuesday,1
L0471,Toa Payoh,Control System,2020-01-14 02:10:11,Informational,In Progress,416.33,2020,1,14,Tuesday,2
L0518,Bishan,Cybersecurity,2020-01-14 18:09:53,Informational,Acknowledged,89.25,2020,1,14,Tuesday,18
L0848,Orchard Road,Environmental,2020-01-15 13:59:30,Low,Resolved,132.58,2020,1,15,Wednesday,13
